"","Date","Plot","Species","Circumference_cm","Circumference_cm2","Circumference_cm3","Circumference_cm4","Tree_Height_1","Tree_Height_2","Tree_Height_3","CrBH_1","CrBH_2","CrBH_3","ForTyp"
"53","6/14/2023",3,"PSME","30","",NA,NA,3.2,3.4,"3.4","0.96","","","mixed conifer"
"54","6/14/2023",3,"PIPO","25","",NA,NA,3.2,2.8,"3","1.4","","","mixed conifer"
"55","6/14/2023",3,"POTR5","41","",NA,NA,7.2,7.4,"7.2","2.2","2.4","2.4","mixed conifer"
"56","6/14/2023",3,"POTR5","53","",NA,NA,9.4,9.8,"9.4","4.6","4.6","4","mixed conifer"
"57","6/14/2023",3,"POTR5","26","",NA,NA,5.6,5,"5","","","","mixed conifer"
"58","6/14/2023",3,"PIPO","24","",NA,NA,3.8,3.8,"3.8","0.5","","","mixed conifer"
"59","6/14/2023",3,"POTR5","42","",NA,NA,8.8,8.4,"8.8","","","","mixed conifer"
"60","6/14/2023",3,"PSME","52","",NA,NA,8.4,8.4,"8.4","1.23","","","mixed conifer"
"61","6/14/2023",3,"PSME","25","",NA,NA,2.4,2.4,"2.6","0.44","","","mixed conifer"
"62","6/14/2023",3,"PSME","35","",NA,NA,5.8,6,"5.8","0.46","","","mixed conifer"
"63","6/14/2023",3,"POTR5","68","",NA,NA,15.6,16,"16","","","","mixed conifer"
"64","6/14/2023",3,"PSME","18","",NA,NA,2.75,NA,"","0.45","","","mixed conifer"
"65","6/14/2023",3,"PSME","33","",NA,NA,6.8,7,"7","2.39","","","mixed conifer"
"66","6/14/2023",3,"PSME","20","",NA,NA,3.6,3.2,"3.6","","","","mixed conifer"
"67","6/14/2023",3,"PIPO","198","",NA,NA,27.8,28.2,"27.6","11.4","11.6","10.8","mixed conifer"
"68","6/14/2023",3,"PSME","65","",NA,NA,8.8,9.4,"9.2","2.28","","","mixed conifer"
"69","6/14/2023",3,"PSME","41","",NA,NA,7.6,7.8,"7.6","","","","mixed conifer"
"70","6/14/2023",3,"PSME","32","",NA,NA,5.8,5.8,"6","","","","mixed conifer"
"71","6/14/2023",3,"PSME","28","",NA,NA,5.8,5.8,"5.8","","","","mixed conifer"
"72","6/14/2023",3,"PSME","14","",NA,NA,5.2,5.2,"5.6","","","","mixed conifer"
"73","6/14/2023",3,"PSME","15","",NA,NA,3.2,NA,"","0.7","","","mixed conifer"
"74","6/14/2023",3,"PSME","17","",NA,NA,3.2,3.2,"3.4","","","","mixed conifer"
"75","6/14/2023",3,"PSME","12","",NA,NA,2.8,2.6,"2.6","0.76","","","mixed conifer"
"76","6/14/2023",3,"PSME","15","",NA,NA,2.2,2.2,"2","0.29","","","mixed conifer"
"77","6/14/2023",3,"PSME","19","",NA,NA,3,3,"3","0.55","","","mixed conifer"
"78","6/14/2023",3,"POTR5","91","",NA,NA,15.4,15.4,"15.4","","","","mixed conifer"
"79","6/14/2023",3,"POTR5","78","",NA,NA,16.8,16.6,"17","","","","mixed conifer"
"80","6/14/2023",3,"PSME","116","",NA,NA,18.4,18.4,"17.6","3","3.2","3.2","mixed conifer"
"81","6/14/2023",3,"PSME","38","",NA,NA,6.8,6.4,"6.6","0.61","","","mixed conifer"
"82","6/14/2023",3,"PSME","35","",NA,NA,4.2,4.2,"4.4","","","","mixed conifer"
"83","6/14/2023",3,"POTR5","92","",NA,NA,14.6,14.8,"14.4","","","","mixed conifer"
"84","6/14/2023",3,"PSME","36","",NA,NA,6.2,5.8,"5.6","3.4","3.2","3.2","mixed conifer"
"85","6/14/2023",3,"PSME","31","",NA,NA,4.4,4.8,"4.6","0.2","","","mixed conifer"
"86","6/14/2023",3,"PSME","32","",NA,NA,6.6,6.2,"6.2","1.8","","","mixed conifer"
"87","6/14/2023",3,"PSME","22","",NA,NA,3,2.8,"2.8","1.09","","","mixed conifer"
"88","6/14/2023",3,"PSME","17","",NA,NA,2.8,2.6,"2.8","","","","mixed conifer"
"89","6/14/2023",3,"PSME","25","",NA,NA,3.4,3.6,"3.6","","","","mixed conifer"
"90","6/14/2023",3,"PSME","18","",NA,NA,2.6,2.4,"2.4","","","","mixed conifer"
"91","6/14/2023",3,"PSME","42","",NA,NA,6.6,6.8,"6.2","4.2","4","4.2","mixed conifer"
"92","6/14/2023",3,"POTR5","83","",NA,NA,15.8,16,"15.8","","","","mixed conifer"
"93","6/14/2023",3,"PSME","120","",NA,NA,16,16.2,"15.8","4","4","4","mixed conifer"
"94","6/14/2023",3,"PSME","19","",NA,NA,3,2.4,"2.6","0.83","","","mixed conifer"
"95","6/14/2023",3,"PSME","15","",NA,NA,2.45,NA,"","0.4","","","mixed conifer"
"96","6/14/2023",3,"PSME","33","",NA,NA,2.4,2.6,"2.6","","","","mixed conifer"
"97","6/14/2023",3,"PSME","18","",NA,NA,2.98,NA,"","0.8","","","mixed conifer"
"98","6/14/2023",3,"POTR5","45","",NA,NA,12.8,12.4,"12.8","","","","mixed conifer"
"99","6/14/2023",3,"PSME","41","",NA,NA,8.2,7.8,"8.4","1.82","","","mixed conifer"
"100","6/14/2023",3,"POTR5","48","",NA,NA,12.2,12.2,"12.2","","","","mixed conifer"
"101","6/14/2023",3,"PSME","25","",NA,NA,4.2,4.2,"4.4","51","","","mixed conifer"
"102","6/14/2023",3,"PSME","27","",NA,NA,5.6,5.2,"5.8","1","","","mixed conifer"
"103","6/14/2023",3,"PSME","20","",NA,NA,2.91,NA,"","","","","mixed conifer"
"104","6/14/2023",3,"PSME","17","",NA,NA,4.5,NA,"","","","","mixed conifer"
"105","6/14/2023",3,"PSME","22","",NA,NA,3.48,NA,"","36","","","mixed conifer"
"106","6/14/2023",3,"POTR5","97","",NA,NA,24.6,23,"20.8","13.2","12.8","13","mixed conifer"
"107","6/14/2023",3,"PSME","18","",NA,NA,2.54,NA,"","0.05","","","mixed conifer"
"108","6/14/2023",3,"PSME","24","",NA,NA,2.71,NA,"","0.2","","","mixed conifer"
"109","6/14/2023",3,"PSME","116","",NA,NA,18.6,18.2,"19","","","","mixed conifer"
"110","6/14/2023",3,"PSME","30","",NA,NA,6.6,6.2,"7","","","","mixed conifer"
"111","6/14/2023",3,"POTR5","78","",NA,NA,12.6,12.6,"13","","","","mixed conifer"
"112","6/14/2023",3,"POTR5","55","",NA,NA,11,11,"11.2","","","","mixed conifer"
"113","6/14/2023",3,"POTR5","98","",NA,NA,15.8,16,"15.8","10","10.8","11.2","mixed conifer"
"114","6/14/2023",3,"PSME","99","",NA,NA,11.8,11.6,"","4.4","4.4","4.6","mixed conifer"
"115","6/14/2023",3,"PSME","30","",NA,NA,7.4,8.2,"7.8","4.6","4.8","5.2","mixed conifer"
"116","6/14/2023",3,"PSME","28","",NA,NA,5,5.4,"5","4","4.4","4","mixed conifer"
"117","6/14/2023",3,"PSME","56","",NA,NA,5.8,5.6,"5.6","","","","mixed conifer"
"118","6/14/2023",4,"","36","",NA,NA,7.4,7.6,"7.6","0.6","","",NA
"119","6/14/2023",4,"","45","",NA,NA,5.2,5.2,"5.6","","","",NA
"120","6/14/2023",4,"","104","",NA,NA,19.8,19,"18.4","7.8","7.4","7.2",NA
"121","6/14/2023",4,"","91","",NA,NA,13.2,13.4,"12.8","","","",NA
"122","6/14/2023",4,"","31","",NA,NA,5.2,4.8,"5.2","0.35","","",NA
"123","6/14/2023",4,"","14","",NA,NA,3.6,3.6,"3.4","0.53","","",NA
"124","6/14/2023",4,"","76","",NA,NA,19.4,19.4,"19.6","3","3.4","3.2",NA
"125","6/14/2023",4,"","62","",NA,NA,8.8,9,"8.8","","","",NA
"126","6/14/2023",4,"","115","",NA,NA,21.2,22,"22.2","7.6","8","8",NA
"127","6/14/2023",4,"","24","",NA,NA,3.2,2.8,"3","1.41","","",NA
"128","6/14/2023",4,"","96","",NA,NA,7,6.6,"7","","","",NA
"129","6/14/2023",4,"","77","",NA,NA,13,13,"13","2.36","","",NA
"130","6/14/2023",4,"","52","",NA,NA,9,9,"9","1.61","","",NA
"131","6/14/2023",4,"","23","",NA,NA,4.2,4.2,"4.8","2.42","","",NA
"132","6/14/2023",4,"","24","",NA,NA,3.8,3.8,"3.8","1.69","","",NA
"133","6/14/2023",4,"","45","",NA,NA,6.4,6.4,"6.4","1.88","","",NA
"134","6/14/2023",4,"","93","",NA,NA,20.4,20.8,"20.8","13.8","14.8","14.6",NA
"135","6/14/2023",4,"","28","",NA,NA,3.2,3.2,"2.8","1.62","","",NA
"136","6/14/2023",4,"","30","",NA,NA,3.8,3.8,"4","2.66","","",NA
"137","6/14/2023",4,"","39","",NA,NA,8.2,8,"8.2","1.62","","",NA
"138","6/14/2023",4,"","75","",NA,NA,19.8,19.2,"19.2","14.2","14.2","14",NA
"139","6/14/2023",4,"","113","",NA,NA,26,25.4,"25.2","7.4","7.4","7.8",NA
"140","6/14/2023",4,"","82","",NA,NA,14.8,14.8,"15.2","1.81","","",NA
"141","6/14/2023",4,"","14","",NA,NA,2.52,NA,"","1.12","","",NA
"142","6/14/2023",4,"","25","",NA,NA,4,4.2,"4","0.94","","",NA
"143","6/14/2023",4,"","33","",NA,NA,7.8,7.4,"7.6","1.41","","",NA
"144","6/14/2023",4,"","52","",NA,NA,6.6,6.4,"6.2","2.3","","",NA
"145","6/14/2023",4,"","35","",NA,NA,9.6,9,"9.8","2.15","","",NA
"146","6/14/2023",4,"","76","",NA,NA,14.4,15.4,"14.2","6.6","6.2","6.4",NA
"147","6/14/2023",4,"","50","",NA,NA,10.2,10.2,"10.2","","","",NA
"148","6/14/2023",4,"","112","",NA,NA,24.4,24.4,"24","7.2","7.2","7.6",NA
"149","6/14/2023",4,"","85","",NA,NA,22.6,22.2,"22.8","","","",NA
"150","6/14/2023",4,"","89","",NA,NA,17.6,18.2,"17","1.29","","",NA
"151","6/14/2023",4,"","48","",NA,NA,7.6,7,"7.2","","","",NA
"152","6/14/2023",4,"","44","",NA,NA,7.4,7.6,"7.4","3.6","3.4","3.6",NA
"153","6/14/2023",4,"","25","",NA,NA,4.2,4.6,"4.6","0.66","","",NA
"154","6/14/2023",4,"","40","",NA,NA,6.4,7.2,"6.8","0.15","","",NA
"155","6/14/2023",4,"","104","",NA,NA,21.6,22.8,"22.4","1.3","","",NA
"156","6/14/2023",4,"","108","",NA,NA,18.6,18.4,"18.6","7","6.6","6.8",NA
"157","6/14/2023",4,"","59","",NA,NA,8.8,9.2,"8.6","","","",NA
"158","6/14/2023",4,"","50","",NA,NA,11.4,11.2,"11.2","","","",NA
"159","6/14/2023",4,"","76","",NA,NA,18.2,18.8,"18","8.6","8.6","8.6",NA
"160","6/14/2023",4,"","92","",NA,NA,19.6,19,"19.2","11.2","10.6","11.2",NA
"161","6/14/2023",4,"","48","",NA,NA,9.8,10,"9.2","","","",NA
"162","6/14/2023",4,"","94","",NA,NA,13.6,13.8,"13.4","9.2","10.2","9.4",NA
"163","6/14/2023",4,"","18","",NA,NA,2.6,2.8,"2.6","0.3","","",NA
"164","6/14/2023",4,"","71","",NA,NA,11.8,11.8,"11.6","6.8","","",NA
"165","6/14/2023",4,"","83","",NA,NA,3.4,3.4,"3.2","","","",NA
"166","6/14/2023",4,"","56","",NA,NA,11,10.6,"12","4.8","4.4","4.2",NA
"167","6/14/2023",4,"","155","",NA,NA,27.8,29,"28","16.6","17.2","16.8",NA
"168","6/14/2023",4,"","174","",NA,NA,30.6,31.8,"30.4","15","14.2","14.6",NA
"169","6/14/2023",4,"","26","",NA,NA,4.4,4.4,"3.8","0.61","","",NA
"170","6/14/2023",4,"","113","",NA,NA,19.4,19,"20.2","9","8.4","9",NA
"171","6/14/2023",4,"","119","",NA,NA,18.6,18.6,"19","8.6","8.8","8.6",NA
"172","6/14/2023",4,"","128","",NA,NA,23.2,24,"24.6","","","",NA
"173","6/14/2023",4,"","62","",NA,NA,12.8,12.4,"13","0.81","","",NA
"174","6/14/2023",4,"","180","",NA,NA,29,28.2,"29.8","12.6","13","13.6",NA
"175","6/14/2023",4,"","40","",NA,NA,5.4,5,"5.6","4.6","5","4.8",NA
"176","6/14/2023",4,"","40","",NA,NA,8.2,8.4,"8.4","0.64","","",NA
"177","6/14/2023",4,"","84","",NA,NA,13.4,13.4,"13.2","1.43","","",NA
"178","6/14/2023",4,"","187","",NA,NA,25,25.6,"25.6","20.8","20.2","20.2",NA
"179","6/14/2023",4,"","68","",NA,NA,14.6,15.2,"15.2","3","2.8","3.2",NA
"180","6/14/2023",4,"","108","",NA,NA,19.2,19.4,"18.8","13.4","10.6","10.6",NA
"181","6/14/2023",4,"","16","",NA,NA,2.8,2.8,"3","0.82","","",NA
"182","6/14/2023",4,"","17","",NA,NA,3.2,3.4,"3.2","0.85","","",NA
"183","6/14/2023",4,"","18","",NA,NA,3,2.8,"3.2","1.93","","",NA
"184","6/14/2023",4,"","140","",NA,NA,23.8,24.8,"24.6","11.8","11","10.6",NA
"185","6/14/2023",4,"","41","",NA,NA,5.6,5.4,"5.6","0.31","","",NA
"186","6/14/2023",5,"PIPO","194","",NA,NA,29,28.8,"28.8","6.2","6","6.2","ponderosa pine"
"187","6/14/2023",5,"PIPO","170","",NA,NA,27.2,28.6,"27.6","`1.6","12","12.6","ponderosa pine"
"188","6/14/2023",5,"PSME","62","",NA,NA,9.2,9.4,"9.4","1.51","","","ponderosa pine"
"189","6/14/2023",5,"PSME","52","",NA,NA,5.2,5.2,"5.6","0.54","","","ponderosa pine"
"190","6/14/2023",5,"PIPO","175","",NA,NA,27.6,27.4,"26.8","","","","ponderosa pine"
"191","6/14/2023",5,"PIPO","198","",NA,NA,33,33.6,"32.6","22.2","23.2","20.4","ponderosa pine"
"192","6/14/2023",5,"PSME","13","",NA,NA,2.2,2.4,"2.6","","","","ponderosa pine"
"193","6/14/2023",5,"PSME","39","",NA,NA,4.2,4,"4","2.11","","","ponderosa pine"
"194","6/14/2023",5,"PSME","85","",NA,NA,11.8,11.6,"11","3","2.8","2.6","ponderosa pine"
"195","6/14/2023",5,"PSME","84","",NA,NA,11.4,11.4,"11.2","4.4","4.2","3.8","ponderosa pine"
"196","6/14/2023",5,"PIPO","207","",NA,NA,25.4,25.2,"24.2","","","","ponderosa pine"
"197","6/14/2023",5,"PSME","50","",NA,NA,9.8,9.2,"9","","","","ponderosa pine"
"198","6/14/2023",5,"PSME","45","",NA,NA,5.6,5.8,"6.2","","","","ponderosa pine"
"199","6/14/2023",5,"PSME","49","",NA,NA,8,8.4,"8.4","3.6","3.2","3.6","ponderosa pine"
"200","6/14/2023",5,"PSME","30","",NA,NA,4.2,4.4,"4.2","","","","ponderosa pine"
"201","6/14/2023",5,"PSME","27","",NA,NA,5.4,5.4,"5.2","","","","ponderosa pine"
"202","6/14/2023",5,"PSME","35","",NA,NA,4.6,4.4,"4.6","","","","ponderosa pine"
"203","6/14/2023",5,"PSME","21","",NA,NA,2.8,3,"2.8","","","","ponderosa pine"
"204","6/14/2023",5,"PSME","51","",NA,NA,7.8,7.8,"8","","","","ponderosa pine"
"205","6/20/2023",6,"PSME ","54","",NA,NA,5.8,5.8,"5.8","3.2","3","3.2","mixed conifer"
"206","6/20/2023",6,"PSME ","111","",NA,NA,12.6,12.8,"12.6","6","6","6.2","mixed conifer"
"207","6/20/2023",6,"PSME ","78","",NA,NA,14.2,15.2,"14.4","5.4","5","5.4","mixed conifer"
"208","6/20/2023",6,"PSME ","25","",NA,NA,5.8,5.4,"5.4","","","","mixed conifer"
"209","6/20/2023",6,"PSME ","36","",NA,NA,6.8,6.4,"6.4","1.1","","","mixed conifer"
"210","6/20/2023",6,"PSME ","29","",NA,NA,14,15.2,"14.8","10.2","9.8","10","mixed conifer"
"211","6/20/2023",6,"QUGA","44","",NA,NA,5.4,5.2,"5.6","5.4","5.2","5.6","mixed conifer"
"212","6/20/2023",6,"QUGA","43","",NA,NA,5,5.2,"4.8","5","5.2","4.8","mixed conifer"
"213","6/20/2023",6,"QUGA","44","",NA,NA,5.8,5.8,"5.6","4.6","5","4.8","mixed conifer"
"214","6/20/2023",6,"QUGA","49","",NA,NA,5.6,5.2,"5.2","5.6","5.2","5.2","mixed conifer"
"215","6/20/2023",6,"QUGA","55","",NA,NA,7.4,7.8,"7","4.8","5","5","mixed conifer"
"216","6/20/2023",6,"PSME ","145","",NA,NA,16,16.2,"16.4","7.4","7.8","7.2","mixed conifer"
"217","6/20/2023",6,"POTR5","25","",NA,NA,6.6,6.2,"6.4","","","","mixed conifer"
"218","6/20/2023",6,"PSME ","86","",NA,NA,16,15.2,"15.8","9","8.6","8.4","mixed conifer"
"219","6/20/2023",6,"PSME ","57","",NA,NA,10.4,10.6,"10.8","","","","mixed conifer"
"220","6/20/2023",6,"QUGA","49","",NA,NA,10.4,10,"10.8","8.4","8.8","8.4","mixed conifer"
"221","6/20/2023",6,"QUGA","36","",NA,NA,5.2,5.4,"4.8","","","","mixed conifer"
"222","6/20/2023",6,"QUGA","65","",NA,NA,9,8.2,"8","4.8","5","4.6","mixed conifer"
"223","6/20/2023",6,"QUGA","62","",NA,NA,6.2,6.8,"6.4","4.4","4","4.2","mixed conifer"
"224","6/20/2023",6,"QUGA","60","",NA,NA,8.2,8,"8","5.6","5.4","4.6","mixed conifer"
"225","6/20/2023",6,"PSME ","135","",NA,NA,21.6,20.8,"20.2","1.5","","","mixed conifer"
"226","6/20/2023",6,"PSME ","59","44",NA,NA,10.4,10.6,"10.8","1.09","","","mixed conifer"
"227","6/20/2023",6,"PSME ","65","",NA,NA,7,6.8,"6.6","2.8","","","mixed conifer"
"228","6/20/2023",6,"PSME ","100","",NA,NA,14,14.2,"13.8","1.99","","","mixed conifer"
"229","6/20/2023",6,"PSME ","75","",NA,NA,13.6,13.2,"13.6","8.2","8.4","8","mixed conifer"
"230","6/20/2023",6,"PSME ","74","",NA,NA,16.4,15.8,"16.2","10.2","10","9.2","mixed conifer"
"231","6/20/2023",6,"PSME ","112","",NA,NA,18,18,"18","11.2","11.8","10.8","mixed conifer"
"232","6/20/2023",6,"QUGA","50","",NA,NA,2.6,2.6,"2.8","2.22","","","mixed conifer"
"233","6/20/2023",6,"PSME ","105","",NA,NA,17.4,17.2,"17.8","1.15","","","mixed conifer"
"234","6/20/2023",6,"QUGA","54","",NA,NA,2.4,2.4,"2.4","2.08","","","mixed conifer"
"235","6/20/2023",6,"PSME ","168","",NA,NA,18.8,18,"18","5.8","5.2","5.6","mixed conifer"
"236","6/20/2023",6,"PSME ","73","",NA,NA,9.6,9.4,"9.2","1.72","","","mixed conifer"
"237","6/20/2023",6,"QUGA","106","",NA,NA,8,8.4,"8","5.4","5.4","5.4","mixed conifer"
"238","6/20/2023",6,"PSME ","138","",NA,NA,17.4,17.4,"18","4","4","4.8","mixed conifer"
"239","6/20/2023",6,"PSME ","113","",NA,NA,13.8,13.2,"13.4","3.6","3.8","3.8","mixed conifer"
"240","6/20/2023",6,"PIPO","248","",NA,NA,22.4,23,"22.4","8.4","8.2","8.4","mixed conifer"
"241","6/20/2023",6,"QUGA","25","",NA,NA,2.55,NA,"","","","","mixed conifer"
"242","6/20/2023",6,"QUGA","17","",NA,NA,2.57,NA,"","","","","mixed conifer"
"243","6/20/2023",6,"PSME ","106","",NA,NA,14.6,15.4,"15.8","3.6","3.2","3.8","mixed conifer"
"244","6/20/2023",6,"PSME ","50","",NA,NA,12.4,12.4,"11.6","3.4","3.4","3","mixed conifer"
"245","6/20/2023",6,"PSME ","113","",NA,NA,16,16.6,"15.4","12.6","12.2","13","mixed conifer"
"246","6/20/2023",6,"PSME ","94","",NA,NA,16.8,16.6,"16.4","8.2","7.6","7.6","mixed conifer"
"247","6/20/2023",6,"PIPU","65","",NA,NA,10.4,10,"11","0.66","","","mixed conifer"
"248","6/20/2023",6,"PSME ","29","",NA,NA,4.2,4.4,"4.6","0.1","","","mixed conifer"
"249","6/20/2023",6,"PSME ","196","",NA,NA,14.4,14.8,"15.2","7.2","7.6","7.2","mixed conifer"
"250","6/20/2023",6,"PSME ","44","",NA,NA,4.6,4.6,"4.2","","","","mixed conifer"
"251","6/20/2023",6,"QUGA","50","",NA,NA,5.6,5.6,"5.4","","","","mixed conifer"
"252","6/20/2023",6,"QUGA","53","",NA,NA,4.8,5.2,"5.2","","","","mixed conifer"
"253","6/20/2023",6,"PSME ","75","",NA,NA,15,15.4,"15.2","5.6","5.6","5.6","mixed conifer"
"254","6/20/2023",6,"PSME ","84","",NA,NA,16,16.6,"16.2","7.6","7.4","7.6","mixed conifer"
"255","6/20/2023",6,"PSME ","83","",NA,NA,15.4,15.4,"16.4","10","9.8","10","mixed conifer"
"256","6/20/2023",6,"PSME ","94","",NA,NA,20.6,20.8,"20.4","11.8","10.8","11.8","mixed conifer"
"257","6/20/2023",6,"PSME ","20","",NA,NA,4.6,4.8,"4.8","1.19","","","mixed conifer"
"258","6/20/2023",6,"PSME ","67","",NA,NA,12.6,12.6,"12.4","6.4","6.2","6.6","mixed conifer"
"259","6/21/2023",7,"PSME ","169","",NA,NA,17.8,17.6,"17.8","0.65","","","mixed conifer"
"260","6/21/2023",7,"PSME ","113","",NA,NA,9,9,"9","","","","mixed conifer"
"261","6/21/2023",7,"PSME ","136","",NA,NA,18.2,17.6,"17.2","6.8","6.8","6.8","mixed conifer"
"262","6/21/2023",7,"POTR5","26","",NA,NA,7.6,7.8,"7.6","5.6","5.4","5.4","mixed conifer"
"263","6/21/2023",7,"POTR5","15","",NA,NA,5.8,5.4,"5.2","3.8","3.8","3.8","mixed conifer"
"264","6/21/2023",7,"PSME ","118","",NA,NA,15,15.6,"15.2","5","5.2","5","mixed conifer"
"265","6/21/2023",7,"PSME ","29","",NA,NA,3.2,2.6,"2.8","0.61","","","mixed conifer"
"266","6/21/2023",7,"POTR5","23","",NA,NA,4.8,5,"5.2","2.6","2.2","2.6","mixed conifer"
"267","6/21/2023",7,"POTR5","23","",NA,NA,4.4,4.4,"4.2","3","3.2","3.4","mixed conifer"
"268","6/21/2023",7,"POTR5","75","",NA,NA,13.8,13.8,"13.8","8.6","9.2","8.8","mixed conifer"
